Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,-5.4,270.0,bottom
C1,-21.3882,19.8204,270.0,bottom
C2,-19.8896,20.6052,90.0,bottom
C3,-30.4814,23.0182,180.0,bottom
C4,-30.4814,20.6306,270.0,bottom
D1,-28.2208,21.2656,270.0,bottom
D2,-6.2739,35.1536,0.0,bottom
J1,-0.015,28.71,90.0,top
J2,-42.435,16.71,90.0,top
J3,-54.935,-37.29,90.0,top
J4,42.405,16.71,90.0,top
J5,54.905,-37.29,90.0,top
J6,-56.302388,43.873277,135.0,top
J7,-0.015,-61.29,90.0,top
J8,56.233276,43.842388,45.0,top
L1,-24.487,15.449,180.0,bottom
R1,-6.5512,33.8074,0.0,bottom
R10,54.9,-33.28,90.0,bottom
R11,54.92,-41.31,270.0,bottom
R12,-58.37,47.66,90.0,bottom
R13,-52.24,41.55,270.0,bottom
R14,-1.28,-49.55,90.0,bottom
R15,0.0,-65.32,270.0,bottom
R16,57.72,48.19,90.0,bottom
R17,52.34,39.96,90.0,bottom
R2,12.3,33.35,90.0,bottom
R3,14.85,24.44,270.0,bottom
R4,-43.59,27.78,90.0,bottom
R5,-41.03,27.82,90.0,bottom
R6,-55.47,-33.75,0.0,bottom
R7,-54.91,-41.33,270.0,bottom
R8,41.13,27.82,90.0,bottom
R9,43.66,27.83,90.0,bottom
SW1,0.0,35.0,180.0,bottom
U1,-24.4348,21.7424,270.0,bottom
